FC,Oxy,pH,TSS,Temp,TPN,TP,Turb
100,92,59,79,68,96,81,86
93,96,63,68,95,96,80,74
92,92,80,78,83,98,91,84
100,90,67,92,70,97,93,96
96,95,82,82,79,98,94,92
99,93,55,90,76,98,95,96
96,89,56,80,69,98,100,79
97,92,75,95,70,97,91,96
96,95,81,72,86,96,100,84
97,93,64,76,72,97,100,84
100,84,56,86,73,97,98,90
95,92,80,87,82,98,96,93
93,95,77,87,89,97,99,95
92,95,79,63,92,98,89,80
99,90,56,83,76,98,95,91
88,92,89,85,80,98,92,87
93,94,80,81,97,96,91,82
100,94,80,91,87,97,95,90
96,95,88,71,93,97,77,81
98,91,88,88,83,96,84,89
88,95,77,76,97,97,85,73
100,92,80,87,88,97,97,86
87,92,85,93,86,96,97,98
100,94,86,92,91,97,98,95
99,94,81,94,83,96,96,95
93,93,74,76,78,97,98,81
95,92,87,86,86,97,100,94
92,92,85,65,90,96,99,78
88,93,79,70,85,96,96,75
98,93,81,75,84,97,95,81
90,91,82,85,80,97,96,86
100,92,77,91,91,97,99,90
95,92,81,70,93,97,87,72
98,94,74,79,88,97,96,91
87,93,91,78,92,97,94,82
87,80,80,59,64,97,76,64
87,81,80,49,60,97,78,57
84,78,80,55,60,97,69,59
85,72,80,67,61,96,76,73
88,86,77,58,71,96,75,65
90,87,80,71,66,97,91,75
84,73,81,84,45,98,89,87
92,87,83,59,73,98,82,65
81,83,84,63,56,98,88,72
80,81,78,59,51,98,90,63
90,72,82,75,49,98,99,83
84,79,78,55,55,97,88,64
81,74,81,52,53,97,85,50
91,78,83,61,65,97,84,68
82,67,84,60,38,98,81,67
89,72,79,67,51,97,85,76
87,82,84,57,64,98,78,67
85,80,83,62,53,97,82,75
82,81,86,64,53,98,81,74
100,98,87,97,100,99,100,99
94,79,74,92,64,96,96,93
100,78,59,90,51,95,90,93
100,72,77,89,56,96,82,95
87,78,70,92,48,96,82,96
100,73,77,89,63,95,93,95
95,80,62,88,65,97,94,83
93,79,75,90,44,97,89,85
97,79,81,82,67,97,90,84
98,81,75,88,55,97,94,87
99,73,73,94,48,92,100,92
95,81,79,89,54,97,100,93
98,84,65,90,47,96,100,92
93,79,75,89,48,96,99,87
100,81,75,89,62,96,91,88
92,74,43,92,34,96,91,89
89,79,66,93,48,96,95,89
92,78,81,94,57,97,94,93
94,76,78,92,50,98,94,95
99,83,72,94,43,97,95,97
93,88,77,67,76,97,83,69
95,90,80,50,71,97,79,56
90,87,83,52,71,97,66,54
96,81,77,77,64,98,80,79
94,91,80,65,80,98,78,63
95,91,83,67,78,98,90,73
95,84,85,89,60,99,94,90
88,91,88,54,84,99,85,66
96,89,85,71,66,98,93,79
86,88,78,60,64,99,91,64
96,81,92,55,57,99,100,86
90,86,85,62,68,98,92,66
89,82,81,45,65,98,79,36
92,87,81,66,76,98,88,70
91,79,85,63,51,99,80,56
95,83,79,69,73,98,89,74
95,81,83,61,76,99,80,66
88,86,62,66,65,99,87,78
90,93,83,62,71,98,76,62
80,94,96,51,91,91,61,47
82,87,94,77,82,83,91,77
85,89,92,68,68,52,58,75
76,78,96,78,65,77,73,81
78,87,91,78,78,57,69,82
67,88,94,87,77,67,88,93
84,85,96,93,84,98,91,92
